source_subject,target_subject,source_only_acc,transfer_acc,gain,target_size
s16,s27,0.25,0.625,0.375,40.0
s15,s05,0.425,0.75,0.325,40.0
s15,s19,0.45,0.75,0.3,40.0
s14,s09,0.5,0.75,0.25,40.0
s08,s32,0.475,0.725,0.25,40.0
s15,s13,0.575,0.775,0.20000000000000007,40.0
s09,s14,0.5,0.7,0.19999999999999996,40.0
s31,s02,0.4,0.55,0.15000000000000002,40.0
s28,s12,0.525,0.65,0.125,40.0
s02,s25,0.475,0.6,0.125,40.0
s16,s23,0.375,0.5,0.125,40.0
s07,s18,0.575,0.675,0.10000000000000009,40.0
s02,s22,0.45,0.55,0.10000000000000003,40.0
s10,s16,0.4,0.5,0.09999999999999998,40.0
s15,s28,0.6,0.675,0.07500000000000007,40.0
s10,s17,0.45,0.525,0.07500000000000001,40.0
s28,s24,0.45,0.5,0.04999999999999999,40.0
s16,s21,0.425,0.475,0.04999999999999999,40.0
s16,s07,0.375,0.425,0.04999999999999999,40.0
s05,s03,0.55,0.6,0.04999999999999993,40.0
s07,s15,0.5,0.525,0.025000000000000022,40.0
s16,s08,0.4,0.425,0.024999999999999967,40.0
s22,s11,0.6,0.6,0.0,40.0
s27,s20,0.575,0.575,0.0,40.0
s03,s01,0.5,0.5,0.0,40.0
s16,s10,0.5,0.5,0.0,40.0
s10,s04,0.4,0.4,0.0,40.0
s07,s31,0.575,0.55,-0.02499999999999991,40.0
s20,s29,0.575,0.55,-0.02499999999999991,40.0
s10,s06,0.625,0.575,-0.050000000000000044,40.0
s08,s30,0.6,0.45,-0.14999999999999997,40.0
s08,s26,0.625,0.35,-0.275,40.0
