source_subject,target_subject,proxy_a_distance,coral_distance,proxy_rank,coral_rank,selection_score,probe_selected_count,probe_selected_fraction_of_cap,probe_candidate_coverage,probe_pseudo_balance,probe_agreement,probe_trial_coherence,probe_mean_selected_conf,probe_transferability_score,selection_stage,selected_source
s03,s01,2.0,10.296093071455836,2.0,5.0,7.0,60.0,1.0,0.4362068965517241,1.0,1.0,0.7456896551724137,0.9520375747084866,0.8339811890802519,stage2_probe,s03
s27,s01,2.0,9.595708755087779,2.0,3.0,5.0,60.0,1.0,0.3267241379310345,1.0,1.0,0.7060344827586207,0.9361363364356909,0.8033585409597156,stage2_probe,s03
s23,s01,2.0,7.996255782533672,2.0,1.0,3.0,60.0,1.0,0.23448275862068965,1.0,1.0,0.6991379310344827,0.8977825840175346,0.7816132671319113,stage2_probe,s03
s29,s01,2.0,9.929485567821635,2.0,4.0,6.0,60.0,1.0,0.09482758620689655,1.0,1.0,0.7137931034482758,0.8529928738863402,0.7543737816253515,stage2_probe,s03
s08,s01,1.9833333333333334,9.119183392474556,1.0,2.0,3.0,60.0,1.0,0.09482758620689655,1.0,1.0,0.7017241379310345,0.8286910336092721,0.7507448965080499,stage2_probe,s03
s30,s01,2.0,10.58871505137192,2.0,6.0,8.0,,,,,,,,,stage1_pruned,s03
s16,s01,1.9833333333333334,10.803575632229931,1.0,8.0,9.0,,,,,,,,,stage1_pruned,s03
s20,s01,2.0,10.630820761931181,2.0,7.0,9.0,,,,,,,,,stage1_pruned,s03
s26,s01,2.0,10.869897147245691,2.0,9.0,11.0,,,,,,,,,stage1_pruned,s03
s10,s01,2.0,11.229313853127037,2.0,10.0,12.0,,,,,,,,,stage1_pruned,s03
s32,s01,2.0,11.31275799269299,2.0,11.0,13.0,,,,,,,,,stage1_pruned,s03
s21,s01,2.0,11.323179296642893,2.0,12.0,14.0,,,,,,,,,stage1_pruned,s03
s15,s01,2.0,11.461572361418616,2.0,13.0,15.0,,,,,,,,,stage1_pruned,s03
s05,s01,2.0,11.91389919348612,2.0,14.0,16.0,,,,,,,,,stage1_pruned,s03
s06,s01,2.0,12.167567018642963,2.0,15.0,17.0,,,,,,,,,stage1_pruned,s03
s02,s01,2.0,12.195191625408631,2.0,16.0,18.0,,,,,,,,,stage1_pruned,s03
s31,s01,2.0,12.21651427267359,2.0,17.0,19.0,,,,,,,,,stage1_pruned,s03
s19,s01,2.0,12.313635389283622,2.0,18.0,20.0,,,,,,,,,stage1_pruned,s03
s17,s01,2.0,12.386054394841644,2.0,19.0,21.0,,,,,,,,,stage1_pruned,s03
s07,s01,2.0,12.529329186166661,2.0,20.0,22.0,,,,,,,,,stage1_pruned,s03
s13,s01,2.0,12.57751396646804,2.0,21.0,23.0,,,,,,,,,stage1_pruned,s03
s14,s01,2.0,12.875108618162711,2.0,22.0,24.0,,,,,,,,,stage1_pruned,s03
s18,s01,2.0,13.081718844204303,2.0,23.0,25.0,,,,,,,,,stage1_pruned,s03
s28,s01,2.0,13.27774883156174,2.0,24.0,26.0,,,,,,,,,stage1_pruned,s03
s12,s01,2.0,13.31055776537525,2.0,25.0,27.0,,,,,,,,,stage1_pruned,s03
s04,s01,2.0,13.445016559345587,2.0,26.0,28.0,,,,,,,,,stage1_pruned,s03
