source_subject,target_subject,repeat,target_size,source_only_acc,transfer_acc,gain,num_pseudo_labeled
s03,s01,0,40,0.475,0.625,0.15000000000000002,0
s26,s02,0,40,0.45,0.45,0.0,0
s05,s03,0,40,0.575,0.625,0.050000000000000044,0
s10,s04,0,40,0.4,0.375,-0.025000000000000022,0
s15,s05,0,40,0.6,0.625,0.025000000000000022,0
s10,s06,0,40,0.25,0.5,0.25,0
s16,s07,0,40,0.7,0.525,-0.17499999999999993,0
s16,s08,0,40,0.425,0.55,0.12500000000000006,0
s14,s09,0,40,0.475,0.625,0.15000000000000002,0
s16,s10,0,40,0.5,0.75,0.25,0
s22,s11,0,40,0.6,0.65,0.050000000000000044,0
s18,s12,0,40,0.475,0.575,0.09999999999999998,0
s15,s13,0,40,0.45,0.775,0.325,0
s09,s14,0,40,0.5,0.5,0.0,0
s16,s15,0,40,0.575,0.775,0.20000000000000007,0
s15,s16,0,40,0.6,0.7,0.09999999999999998,0
s13,s17,0,40,0.55,0.425,-0.12500000000000006,0
s07,s18,0,40,0.4,0.825,0.42499999999999993,0
s15,s19,0,40,0.575,0.65,0.07500000000000007,0
s27,s20,0,40,0.775,0.8,0.025000000000000022,0
s15,s21,0,40,0.5,0.525,0.025000000000000022,0
s25,s22,0,40,0.55,0.675,0.125,0
s16,s23,0,40,0.625,0.575,-0.050000000000000044,0
s28,s24,0,40,0.45,0.4,-0.04999999999999999,0
s14,s25,0,40,0.475,0.675,0.20000000000000007,0
s16,s26,0,40,0.35,0.525,0.17500000000000004,0
s16,s27,0,40,0.7,0.55,-0.1499999999999999,0
s15,s28,0,40,0.4,0.625,0.22499999999999998,0
s20,s29,0,40,0.55,0.65,0.09999999999999998,0
s08,s30,0,40,0.3,0.525,0.22500000000000003,0
s07,s31,0,40,0.425,0.45,0.025000000000000022,0
s15,s32,0,40,0.5,0.45,-0.04999999999999999,0
