source_subject,target_subject,repeat,target_size,source_only_acc,transfer_acc,gain,proxy_a_before,proxy_a_after
s03,s01,0,40,0.1,0.45,0.35,2.0,2.0
s31,s02,0,40,0.25,0.225,-0.024999999999999994,2.0,2.0
s05,s03,0,40,0.4,0.125,-0.275,2.0,2.0
s12,s04,0,40,0.525,0.5,-0.025000000000000022,2.0,2.0
s15,s05,0,40,0.325,0.225,-0.1,1.9833333333333334,1.9833333333333334
s19,s06,0,40,0.35,0.125,-0.22499999999999998,1.9833333333333334,1.9833333333333334
s15,s07,0,40,0.65,0.225,-0.42500000000000004,2.0,1.9666666666666668
s27,s08,0,40,0.325,0.2,-0.125,1.9833333333333334,1.8833333333333333
s14,s09,0,40,0.275,0.3,0.024999999999999967,2.0,1.9500000000000002
s06,s10,0,40,0.225,0.325,0.1,2.0,2.0
s02,s11,0,40,0.35,0.275,-0.07499999999999996,2.0,2.0
s06,s12,0,40,0.4,0.375,-0.025000000000000022,1.9666666666666668,2.0
s18,s13,0,40,0.125,0.325,0.2,2.0,2.0
s15,s14,0,40,0.35,0.475,0.125,2.0,2.0
s07,s15,0,40,0.5,0.3,-0.2,2.0,2.0
s15,s16,0,40,0.25,0.5,0.25,2.0,2.0
s19,s17,0,40,0.45,0.225,-0.225,2.0,1.9833333333333334
s07,s18,0,40,0.4,0.1,-0.30000000000000004,2.0,2.0
s06,s19,0,40,0.375,0.3,-0.07500000000000001,2.0,2.0
s16,s20,0,40,0.175,0.175,0.0,2.0,2.0
s15,s21,0,40,0.3,0.25,-0.04999999999999999,2.0,2.0
s02,s22,0,40,0.225,0.375,0.15,2.0,2.0
s03,s23,0,40,0.4,0.15,-0.25,1.5833333333333335,1.6
s09,s24,0,40,0.325,0.3,-0.025000000000000022,2.0,1.9833333333333334
s14,s25,0,40,0.375,0.375,0.0,2.0,2.0
s16,s26,0,40,0.3,0.3,0.0,2.0,2.0
s20,s27,0,40,0.35,0.125,-0.22499999999999998,2.0,2.0
s15,s28,0,40,0.525,0.325,-0.2,2.0,2.0
s20,s29,0,40,0.15,0.35,0.19999999999999998,2.0,2.0
s16,s30,0,40,0.15,0.15,0.0,2.0,2.0
s20,s31,0,40,0.425,0.2,-0.22499999999999998,2.0,2.0
s15,s32,0,40,0.225,0.25,0.024999999999999994,1.9666666666666668,1.9833333333333334
