source_subject,target_subject,repeat,target_size,source_only_acc,transfer_acc,gain,num_pseudo_labeled
s03,s01,0,40,0.4,0.1,-0.30000000000000004,0
s31,s02,0,40,0.275,0.275,0.0,0
s05,s03,0,40,0.125,0.4,0.275,0
s12,s04,0,40,0.375,0.35,-0.025000000000000022,0
s15,s05,0,40,0.35,0.525,0.17500000000000004,0
s19,s06,0,40,0.275,0.275,0.0,0
s15,s07,0,40,0.625,0.625,0.0,0
s27,s08,0,40,0.45,0.575,0.12499999999999994,0
s14,s09,0,40,0.3,0.275,-0.024999999999999967,0
s06,s10,0,40,0.375,0.375,0.0,0
s02,s11,0,40,0.275,0.4,0.125,0
s06,s12,0,40,0.2,0.35,0.14999999999999997,0
s18,s13,0,40,0.35,0.55,0.20000000000000007,0
s15,s14,0,40,0.475,0.475,0.0,0
s07,s15,0,40,0.3,0.5,0.2,0
s15,s16,0,40,0.275,0.475,0.19999999999999996,0
s19,s17,0,40,0.375,0.375,0.0,0
s07,s18,0,40,0.1,0.25,0.15,0
s06,s19,0,40,0.3,0.4,0.10000000000000003,0
s16,s20,0,40,0.425,0.4,-0.024999999999999967,0
s15,s21,0,40,0.35,0.425,0.07500000000000001,0
s02,s22,0,40,0.375,0.225,-0.15,0
s03,s23,0,40,0.475,0.425,-0.04999999999999999,0
s09,s24,0,40,0.325,0.3,-0.025000000000000022,0
s14,s25,0,40,0.375,0.375,0.0,0
s16,s26,0,40,0.45,0.3,-0.15000000000000002,0
s20,s27,0,40,0.325,0.3,-0.025000000000000022,0
s15,s28,0,40,0.525,0.5,-0.025000000000000022,0
s20,s29,0,40,0.15,0.15,0.0,0
s16,s30,0,40,0.35,0.3,-0.04999999999999999,0
s20,s31,0,40,0.45,0.475,0.024999999999999967,0
s15,s32,0,40,0.425,0.3,-0.125,0
