source_subject,target_subject,proxy_a_distance,coral_distance,proxy_rank,coral_rank,selection_score,probe_selected_count,probe_selected_fraction_of_cap,probe_candidate_coverage,probe_pseudo_balance,probe_agreement,probe_trial_coherence,probe_mean_selected_conf,probe_transferability_score,selection_stage,selected_source
s03,s01,2.0,10.296093071455836,2.0,5.0,7.0,60.0,0.6666666666666666,0.14913793103448275,1.0,1.0,0.7112068965517241,0.8591180511934077,0.7150248680769119,stage2_probe,s03
s27,s01,2.0,9.595708755087779,2.0,3.0,5.0,18.0,0.2,0.10948275862068965,0.5,1.0,0.7086206896551724,0.9077312936272173,0.5390072543365333,stage2_probe,s03
s23,s01,2.0,7.996255782533672,2.0,1.0,3.0,12.0,0.13333333333333333,0.05517241379310345,0.5,1.0,0.6155172413793103,0.8360564646603654,0.495940754267501,stage2_probe,s03
s08,s01,1.9833333333333334,9.119183392474556,1.0,2.0,3.0,3.0,0.03333333333333333,0.0034482758620689655,0.5,1.0,0.6862068965517241,0.7695756357366061,0.4814098162695889,stage2_probe,s03
s29,s01,2.0,9.929485567821635,2.0,4.0,6.0,8.0,0.08888888888888889,0.015517241379310345,0.0,1.0,0.7094827586206897,0.8508618132016579,0.4008764239934162,stage2_probe,s03
s30,s01,2.0,10.58871505137192,2.0,6.0,8.0,,,,,,,,,stage1_pruned,s03
s16,s01,1.9833333333333334,10.803575632229931,1.0,8.0,9.0,,,,,,,,,stage1_pruned,s03
s20,s01,2.0,10.630820761931181,2.0,7.0,9.0,,,,,,,,,stage1_pruned,s03
s26,s01,2.0,10.869897147245691,2.0,9.0,11.0,,,,,,,,,stage1_pruned,s03
s10,s01,2.0,11.229313853127037,2.0,10.0,12.0,,,,,,,,,stage1_pruned,s03
s32,s01,2.0,11.31275799269299,2.0,11.0,13.0,,,,,,,,,stage1_pruned,s03
s21,s01,2.0,11.323179296642893,2.0,12.0,14.0,,,,,,,,,stage1_pruned,s03
s15,s01,2.0,11.461572361418616,2.0,13.0,15.0,,,,,,,,,stage1_pruned,s03
