rank,source_subject,target_subject,source_only_acc,transfer_acc,gain,target_size,num_pseudo_labeled
1,s16,s27,0.25,0.625,0.375,40.0,0.0
2,s15,s05,0.425,0.75,0.325,40.0,0.0
3,s15,s19,0.45,0.75,0.3,40.0,0.0
4,s14,s09,0.5,0.75,0.25,40.0,0.0
5,s08,s32,0.475,0.725,0.25,40.0,0.0
6,s15,s13,0.575,0.775,0.2,40.0,0.0
7,s09,s14,0.5,0.7,0.1999999999999999,40.0,0.0
8,s31,s02,0.4,0.55,0.15,40.0,0.0
9,s28,s12,0.525,0.65,0.125,40.0,0.0
10,s02,s25,0.475,0.6,0.125,40.0,0.0
11,s16,s23,0.375,0.5,0.125,40.0,0.0
12,s07,s18,0.575,0.675,0.1,40.0,0.0
13,s02,s22,0.45,0.55,0.1,40.0,0.0
14,s10,s16,0.4,0.5,0.0999999999999999,40.0,0.0
15,s15,s28,0.6,0.675,0.075,40.0,0.0
16,s10,s17,0.45,0.525,0.075,40.0,0.0
17,s28,s24,0.45,0.5,0.0499999999999999,40.0,0.0
18,s16,s21,0.425,0.475,0.0499999999999999,40.0,0.0
19,s16,s07,0.375,0.425,0.0499999999999999,40.0,0.0
20,s05,s03,0.55,0.6,0.0499999999999999,40.0,0.0
21,s07,s15,0.5,0.525,0.025,40.0,0.0
22,s16,s08,0.4,0.425,0.0249999999999999,40.0,0.0
23,s22,s11,0.6,0.6,0.0,40.0,0.0
24,s27,s20,0.575,0.575,0.0,40.0,0.0
25,s03,s01,0.5,0.5,0.0,40.0,0.0
26,s16,s10,0.5,0.5,0.0,40.0,0.0
27,s10,s04,0.4,0.4,0.0,40.0,0.0
28,s07,s31,0.575,0.55,-0.0249999999999999,40.0,0.0
29,s20,s29,0.575,0.55,-0.0249999999999999,40.0,0.0
30,s10,s06,0.625,0.575,-0.05,40.0,0.0
31,s08,s30,0.6,0.45,-0.1499999999999999,40.0,0.0
32,s08,s26,0.625,0.35,-0.275,40.0,0.0
