rank,source_subject,target_subject,source_only_acc,transfer_acc,gain,target_size,num_pseudo_labeled
1,s18,s16,0.2,0.5,0.3,40.0,0.0
2,s07,s14,0.275,0.475,0.1999999999999999,40.0,0.0
3,s01,s04,0.325,0.5,0.175,40.0,0.0
4,s14,s12,0.2,0.375,0.175,40.0,0.0
5,s18,s29,0.175,0.35,0.175,40.0,0.0
6,s28,s01,0.325,0.45,0.125,40.0,0.0
7,s09,s28,0.275,0.325,0.0499999999999999,40.0,0.0
8,s10,s26,0.25,0.3,0.0499999999999999,40.0,0.0
9,s32,s25,0.35,0.375,0.025,40.0,0.0
10,s18,s09,0.275,0.3,0.0249999999999999,40.0,0.0
11,s04,s22,0.375,0.375,0.0,40.0,0.0
12,s03,s13,0.35,0.325,-0.0249999999999999,40.0,0.0
13,s09,s07,0.25,0.225,-0.0249999999999999,40.0,0.0
14,s18,s15,0.325,0.3,-0.025,40.0,0.0
15,s23,s32,0.3,0.25,-0.0499999999999999,40.0,0.0
16,s16,s08,0.25,0.2,-0.0499999999999999,40.0,0.0
17,s06,s17,0.275,0.225,-0.05,40.0,0.0
18,s25,s30,0.2,0.15,-0.05,40.0,0.0
19,s21,s05,0.3,0.225,-0.0749999999999999,40.0,0.0
20,s30,s24,0.375,0.3,-0.075,40.0,0.0
21,s18,s19,0.4,0.3,-0.1,40.0,0.0
22,s03,s10,0.45,0.325,-0.125,40.0,0.0
23,s10,s11,0.4,0.275,-0.125,40.0,0.0
24,s18,s21,0.375,0.25,-0.125,40.0,0.0
25,s07,s31,0.375,0.2,-0.175,40.0,0.0
26,s18,s02,0.5,0.225,-0.275,40.0,0.0
27,s18,s20,0.475,0.175,-0.3,40.0,0.0
28,s18,s23,0.45,0.15,-0.3,40.0,0.0
29,s01,s18,0.425,0.1,-0.3249999999999999,40.0,0.0
30,s15,s03,0.475,0.125,-0.35,40.0,0.0
31,s26,s27,0.55,0.125,-0.425,40.0,0.0
32,s18,s06,0.6,0.125,-0.475,40.0,0.0
