rank,source_subject,target_subject,source_only_acc,transfer_acc,gain,target_size,num_pseudo_labeled
1,s05,s03,0.125,0.4,0.275,40.0,0.0
2,s18,s13,0.35,0.55,0.2,40.0,0.0
3,s07,s15,0.3,0.5,0.2,40.0,0.0
4,s15,s16,0.275,0.475,0.2,40.0,0.0
5,s15,s05,0.35,0.525,0.175,40.0,0.0
6,s07,s18,0.1,0.25,0.15,40.0,0.0
7,s06,s12,0.2,0.35,0.15,40.0,0.0
8,s02,s11,0.275,0.4,0.125,40.0,0.0
9,s27,s08,0.45,0.575,0.125,40.0,0.0
10,s06,s19,0.3,0.4,0.1,40.0,0.0
11,s15,s21,0.35,0.425,0.075,40.0,0.0
12,s20,s31,0.45,0.475,0.025,40.0,0.0
13,s15,s07,0.625,0.625,0.0,40.0,0.0
14,s15,s14,0.475,0.475,0.0,40.0,0.0
15,s06,s10,0.375,0.375,0.0,40.0,0.0
16,s14,s25,0.375,0.375,0.0,40.0,0.0
17,s19,s17,0.375,0.375,0.0,40.0,0.0
18,s19,s06,0.275,0.275,0.0,40.0,0.0
19,s31,s02,0.275,0.275,0.0,40.0,0.0
20,s20,s29,0.15,0.15,0.0,40.0,0.0
21,s16,s20,0.425,0.4,-0.025,40.0,0.0
22,s14,s09,0.3,0.275,-0.025,40.0,0.0
23,s15,s28,0.525,0.5,-0.025,40.0,0.0
24,s12,s04,0.375,0.35,-0.025,40.0,0.0
25,s09,s24,0.325,0.3,-0.025,40.0,0.0
26,s20,s27,0.325,0.3,-0.025,40.0,0.0
27,s03,s23,0.475,0.425,-0.05,40.0,0.0
28,s16,s30,0.35,0.3,-0.05,40.0,0.0
29,s15,s32,0.425,0.3,-0.125,40.0,0.0
30,s02,s22,0.375,0.225,-0.15,40.0,0.0
31,s16,s26,0.45,0.3,-0.15,40.0,0.0
32,s03,s01,0.4,0.1,-0.3,40.0,0.0
