rank,source_subject,target_subject,source_only_acc,transfer_acc,gain,target_size,num_pseudo_labeled
1,s28,s06,0.25,0.65,0.4,40.0,0.0
2,s03,s13,0.425,0.65,0.225,40.0,0.0
3,s09,s16,0.45,0.65,0.2,40.0,0.0
4,s26,s05,0.425,0.625,0.2,40.0,0.0
5,s02,s18,0.4,0.6,0.2,40.0,0.0
6,s03,s15,0.5,0.675,0.175,40.0,0.0
7,s22,s04,0.4,0.575,0.175,40.0,0.0
8,s18,s20,0.425,0.575,0.15,40.0,0.0
9,s07,s09,0.5,0.625,0.125,40.0,0.0
10,s26,s27,0.45,0.575,0.125,40.0,0.0
11,s07,s31,0.475,0.575,0.1,40.0,0.0
12,s12,s14,0.475,0.575,0.1,40.0,0.0
13,s20,s01,0.575,0.65,0.075,40.0,0.0
14,s10,s03,0.5,0.575,0.075,40.0,0.0
15,s18,s21,0.475,0.525,0.05,40.0,0.0
16,s10,s29,0.425,0.475,0.05,40.0,0.0
17,s03,s10,0.75,0.775,0.025,40.0,0.0
18,s29,s25,0.6,0.625,0.025,40.0,0.0
19,s27,s23,0.425,0.45,0.025,40.0,0.0
20,s29,s28,0.475,0.475,0.0,40.0,0.0
21,s30,s24,0.45,0.45,0.0,40.0,0.0
22,s18,s22,0.375,0.375,0.0,40.0,0.0
23,s06,s17,0.45,0.425,-0.025,40.0,0.0
24,s15,s02,0.45,0.425,-0.025,40.0,0.0
25,s12,s08,0.55,0.5,-0.05,40.0,0.0
26,s18,s19,0.525,0.45,-0.075,40.0,0.0
27,s29,s26,0.5,0.4,-0.1,40.0,0.0
28,s24,s12,0.475,0.375,-0.1,40.0,0.0
29,s10,s11,0.55,0.45,-0.1,40.0,0.0
30,s26,s30,0.625,0.5,-0.125,40.0,0.0
31,s10,s32,0.575,0.4,-0.175,40.0,0.0
32,s31,s07,0.7,0.45,-0.25,40.0,0.0
