rank,source_subject,target_subject,source_only_acc,transfer_acc,gain,target_size,num_pseudo_labeled
1,s09,s07,0.15,0.475,0.325,40.0,0.0
2,s10,s26,0.125,0.425,0.3,40.0,0.0
3,s18,s21,0.325,0.4,0.075,40.0,0.0
4,s21,s05,0.3,0.375,0.075,40.0,0.0
5,s14,s12,0.35,0.4,0.05,40.0,0.0
6,s18,s02,0.5,0.525,0.025,40.0,0.0
7,s04,s22,0.35,0.375,0.025,40.0,0.0
8,s06,s17,0.35,0.375,0.025,40.0,0.0
9,s18,s16,0.25,0.275,0.025,40.0,0.0
10,s32,s25,0.25,0.275,0.025,40.0,0.0
11,s18,s29,0.125,0.15,0.025,40.0,0.0
12,s01,s04,0.325,0.35,0.025,40.0,0.0
13,s23,s32,0.275,0.3,0.025,40.0,0.0
14,s07,s14,0.475,0.475,0.0,40.0,0.0
15,s18,s23,0.375,0.375,0.0,40.0,0.0
16,s03,s13,0.3,0.3,0.0,40.0,0.0
17,s18,s20,0.425,0.4,-0.025,40.0,0.0
18,s18,s06,0.3,0.275,-0.025,40.0,0.0
19,s25,s30,0.225,0.2,-0.025,40.0,0.0
20,s26,s27,0.55,0.525,-0.025,40.0,0.0
21,s10,s11,0.45,0.425,-0.025,40.0,0.0
22,s09,s28,0.375,0.35,-0.025,40.0,0.0
23,s18,s19,0.325,0.3,-0.025,40.0,0.0
24,s18,s09,0.275,0.25,-0.025,40.0,0.0
25,s07,s31,0.45,0.4,-0.05,40.0,0.0
26,s03,s10,0.35,0.3,-0.05,40.0,0.0
27,s30,s24,0.35,0.3,-0.05,40.0,0.0
28,s15,s03,0.525,0.475,-0.05,40.0,0.0
29,s01,s18,0.4,0.325,-0.075,40.0,0.0
30,s18,s15,0.425,0.325,-0.1,40.0,0.0
31,s16,s08,0.325,0.2,-0.125,40.0,0.0
32,s28,s01,0.6,0.45,-0.15,40.0,0.0
