source_subject,target_subject,source_only_acc,transfer_acc,gain,target_size
s29,s26,0.4,0.6,0.19999999999999996,40.0
s18,s22,0.375,0.55,0.17500000000000004,40.0
s10,s29,0.425,0.575,0.14999999999999997,40.0
s18,s21,0.4,0.525,0.125,40.0
s10,s03,0.45,0.55,0.10000000000000003,40.0
s15,s02,0.45,0.55,0.10000000000000003,40.0
s26,s05,0.5,0.6,0.09999999999999998,40.0
s12,s14,0.4,0.5,0.09999999999999998,40.0
s29,s28,0.45,0.525,0.07500000000000001,40.0
s20,s01,0.5,0.575,0.07499999999999996,40.0
s22,s04,0.55,0.6,0.04999999999999993,40.0
s03,s15,0.6,0.625,0.025000000000000022,40.0
s27,s23,0.575,0.6,0.025000000000000022,40.0
s06,s17,0.525,0.55,0.025000000000000022,40.0
s07,s09,0.475,0.5,0.025000000000000022,40.0
s30,s24,0.425,0.45,0.025000000000000022,40.0
s18,s19,0.55,0.575,0.02499999999999991,40.0
s26,s27,0.75,0.75,0.0,40.0
s26,s30,0.675,0.675,0.0,40.0
s10,s32,0.5,0.5,0.0,40.0
s24,s12,0.475,0.475,0.0,40.0
s29,s25,0.475,0.475,0.0,40.0
s12,s08,0.45,0.45,0.0,40.0
s03,s13,0.425,0.425,0.0,40.0
s07,s31,0.5,0.475,-0.025000000000000022,40.0
s02,s18,0.5,0.45,-0.04999999999999999,40.0
s10,s11,0.575,0.5,-0.07499999999999996,40.0
s28,s06,0.6,0.5,-0.09999999999999998,40.0
s31,s07,0.5,0.4,-0.09999999999999998,40.0
s18,s20,0.55,0.45,-0.10000000000000003,40.0
s09,s16,0.6,0.45,-0.14999999999999997,40.0
s03,s10,0.65,0.5,-0.15000000000000002,40.0
