source_subject,target_subject,repeat,target_size,source_only_acc,transfer_acc,gain,proxy_a_before,proxy_a_after
s20,s01,0,40,0.5,0.575,0.07499999999999996,1.8166666666666669,1.9333333333333331
s15,s02,0,40,0.45,0.55,0.10000000000000003,1.9833333333333334,1.9666666666666668
s10,s03,0,40,0.45,0.55,0.10000000000000003,1.7166666666666668,1.9333333333333331
s22,s04,0,40,0.55,0.6,0.04999999999999993,1.6833333333333331,1.8333333333333335
s26,s05,0,40,0.5,0.6,0.09999999999999998,1.8666666666666667,1.8833333333333333
s28,s06,0,40,0.6,0.5,-0.09999999999999998,1.9833333333333334,1.9
s31,s07,0,40,0.5,0.4,-0.09999999999999998,1.9333333333333331,1.9500000000000002
s12,s08,0,40,0.45,0.45,0.0,1.4500000000000002,1.5333333333333332
s07,s09,0,40,0.475,0.5,0.025000000000000022,1.9666666666666668,1.9666666666666668
s03,s10,0,40,0.65,0.5,-0.15000000000000002,1.9,1.85
s10,s11,0,40,0.575,0.5,-0.07499999999999996,1.5,1.8666666666666667
s24,s12,0,40,0.475,0.475,0.0,1.7666666666666666,1.6666666666666665
s03,s13,0,40,0.425,0.425,0.0,1.9833333333333334,1.9833333333333334
s12,s14,0,40,0.4,0.5,0.09999999999999998,1.4500000000000002,1.6166666666666667
s03,s15,0,40,0.6,0.625,0.025000000000000022,1.8666666666666667,1.9166666666666665
s09,s16,0,40,0.6,0.45,-0.14999999999999997,1.65,1.7999999999999998
s06,s17,0,40,0.525,0.55,0.025000000000000022,1.7166666666666668,1.8166666666666669
s02,s18,0,40,0.5,0.45,-0.04999999999999999,1.7666666666666666,1.8666666666666667
s18,s19,0,40,0.55,0.575,0.02499999999999991,1.6666666666666665,1.4500000000000002
s18,s20,0,40,0.55,0.45,-0.10000000000000003,1.2999999999999998,1.7833333333333332
s18,s21,0,40,0.4,0.525,0.125,1.9166666666666665,2.0
s18,s22,0,40,0.375,0.55,0.17500000000000004,1.85,1.7666666666666666
s27,s23,0,40,0.575,0.6,0.025000000000000022,1.9166666666666665,1.9500000000000002
s30,s24,0,40,0.425,0.45,0.025000000000000022,1.9166666666666665,2.0
s29,s25,0,40,0.475,0.475,0.0,1.9,1.9500000000000002
s29,s26,0,40,0.4,0.6,0.19999999999999996,1.5333333333333332,1.5833333333333335
s26,s27,0,40,0.75,0.75,0.0,1.7000000000000002,1.6833333333333331
s29,s28,0,40,0.45,0.525,0.07500000000000001,1.8666666666666667,1.9
s10,s29,0,40,0.425,0.575,0.14999999999999997,1.8833333333333333,1.9833333333333334
s26,s30,0,40,0.675,0.675,0.0,1.9,1.9833333333333334
s07,s31,0,40,0.5,0.475,-0.025000000000000022,1.9500000000000002,1.9
s10,s32,0,40,0.5,0.5,0.0,1.7666666666666666,1.9666666666666668
