source_subject,target_subject,proxy_a_distance,coral_distance,proxy_rank,coral_rank,selection_score,probe_selected_count,probe_selected_fraction_of_cap,probe_candidate_coverage,probe_pseudo_balance,probe_agreement,probe_trial_coherence,probe_mean_selected_conf,probe_transferability_score,selection_stage,selected_source
s20,s01,2.0,5.451358671219005,3.0,3.0,6.0,60.0,1.0,0.19137931034482758,1.0,1.0,0.6810344827586207,0.938812643679665,0.7714233908046729,stage2_probe,s20
s28,s01,2.0,5.760416028135561,3.0,4.0,7.0,60.0,1.0,0.12586206896551724,1.0,1.0,0.6629310344827586,0.905916905807461,0.7530544659800282,stage2_probe,s20
s18,s01,2.0,5.1787731681440645,3.0,1.0,4.0,60.0,1.0,0.10431034482758621,1.0,1.0,0.6948275862068966,0.8530062883828146,0.7524779006260373,stage2_probe,s20
s29,s01,2.0,5.887353334008204,3.0,5.0,8.0,60.0,1.0,0.08793103448275862,1.0,1.0,0.6637931034482759,0.8718801441117495,0.7439388347917945,stage2_probe,s20
s17,s01,1.9666666666666668,5.332100226610577,1.0,2.0,3.0,6.0,0.1,0.006896551724137931,0.5,1.0,0.625,0.8025491289503974,0.48150676679234744,stage2_probe,s20
s10,s01,2.0,6.198178550614722,3.0,6.0,9.0,,,,,,,,,stage1_pruned,s20
s22,s01,1.9833333333333334,6.390006963546676,2.0,8.0,10.0,,,,,,,,,stage1_pruned,s20
s04,s01,2.0,6.292346256945492,3.0,7.0,10.0,,,,,,,,,stage1_pruned,s20
s06,s01,1.9666666666666668,6.5493697566695985,1.0,11.0,12.0,,,,,,,,,stage1_pruned,s20
s19,s01,2.0,6.409030816294459,3.0,9.0,12.0,,,,,,,,,stage1_pruned,s20
s26,s01,2.0,6.544008815968598,3.0,10.0,13.0,,,,,,,,,stage1_pruned,s20
s09,s01,2.0,6.645959919157378,3.0,12.0,15.0,,,,,,,,,stage1_pruned,s20
s08,s01,2.0,6.707884451430087,3.0,13.0,16.0,,,,,,,,,stage1_pruned,s20
s15,s01,2.0,6.832874766790771,3.0,14.0,17.0,,,,,,,,,stage1_pruned,s20
s03,s01,2.0,6.893219764142219,3.0,15.0,18.0,,,,,,,,,stage1_pruned,s20
s23,s01,2.0,7.127018212994982,3.0,16.0,19.0,,,,,,,,,stage1_pruned,s20
s13,s01,1.9833333333333334,7.408093084691844,2.0,18.0,20.0,,,,,,,,,stage1_pruned,s20
s32,s01,2.0,7.381111391537326,3.0,17.0,20.0,,,,,,,,,stage1_pruned,s20
s02,s01,2.0,7.447127870213698,3.0,19.0,22.0,,,,,,,,,stage1_pruned,s20
s27,s01,2.0,7.461665396862335,3.0,20.0,23.0,,,,,,,,,stage1_pruned,s20
s05,s01,1.9666666666666668,8.166192703108836,1.0,23.0,24.0,,,,,,,,,stage1_pruned,s20
s16,s01,2.0,7.578440748628496,3.0,21.0,24.0,,,,,,,,,stage1_pruned,s20
s30,s01,2.0,7.6189762692108545,3.0,22.0,25.0,,,,,,,,,stage1_pruned,s20
s07,s01,2.0,8.323172171926585,3.0,24.0,27.0,,,,,,,,,stage1_pruned,s20
s21,s01,1.9833333333333334,8.797296756409068,2.0,26.0,28.0,,,,,,,,,stage1_pruned,s20
s25,s01,2.0,8.331363850086651,3.0,25.0,28.0,,,,,,,,,stage1_pruned,s20
s11,s01,2.0,8.845153905358693,3.0,27.0,30.0,,,,,,,,,stage1_pruned,s20
s31,s01,2.0,8.991393132212995,3.0,28.0,31.0,,,,,,,,,stage1_pruned,s20
s24,s01,2.0,9.327048287485244,3.0,29.0,32.0,,,,,,,,,stage1_pruned,s20
s12,s01,2.0,9.850012247415146,3.0,30.0,33.0,,,,,,,,,stage1_pruned,s20
s14,s01,2.0,11.286707017650388,3.0,31.0,34.0,,,,,,,,,stage1_pruned,s20
s15,s02,2.0,6.683523217501151,3.0,5.0,8.0,60.0,1.0,0.13793103448275862,1.0,1.0,0.6344827586206897,0.8664388462852272,0.7478047009349511,stage2_probe,s15
s10,s02,2.0,6.6322523049568165,3.0,4.0,7.0,8.0,0.13333333333333333,0.8206896551724138,0.0,1.0,1.0,0.9836213324426861,0.633318997656617,stage2_probe,s15
s18,s02,1.9833333333333334,5.170058850526579,2.0,1.0,3.0,6.0,0.1,0.03189655172413793,0.5,1.0,0.7189655172413792,0.8416677412621117,0.507255800856209,stage2_probe,s15
s08,s02,2.0,5.778633475893797,3.0,3.0,6.0,8.0,0.13333333333333333,0.010344827586206896,0.0,1.0,0.6474137931034483,0.8154555796209056,0.3923245031189764,stage2_probe,s15
s17,s02,1.9833333333333334,5.392925269803068,2.0,2.0,4.0,2.0,0.03333333333333333,0.0017241379310344827,0.0,1.0,0.6379310344827586,0.7606082672026269,0.37096144784289,stage2_probe,s15
s16,s02,1.9833333333333334,7.05794186079659,2.0,7.0,9.0,,,,,,,,,stage1_pruned,s15
s09,s02,2.0,7.015499774856162,3.0,6.0,9.0,,,,,,,,,stage1_pruned,s15
s29,s02,2.0,7.243507977854367,3.0,8.0,11.0,,,,,,,,,stage1_pruned,s15
s04,s02,2.0,7.318628279365658,3.0,9.0,12.0,,,,,,,,,stage1_pruned,s15
s20,s02,1.9666666666666668,7.524345269706621,1.0,12.0,13.0,,,,,,,,,stage1_pruned,s15
s26,s02,1.9833333333333334,7.412102065315666,2.0,11.0,13.0,,,,,,,,,stage1_pruned,s15
s03,s02,2.0,7.374058308689821,3.0,10.0,13.0,,,,,,,,,stage1_pruned,s15
s19,s02,2.0,7.5693833749505535,3.0,13.0,16.0,,,,,,,,,stage1_pruned,s15
s06,s02,2.0,7.669433097713472,3.0,14.0,17.0,,,,,,,,,stage1_pruned,s15
s01,s02,2.0,7.728714177171285,3.0,15.0,18.0,,,,,,,,,stage1_pruned,s15
s28,s02,2.0,7.752737988223749,3.0,16.0,19.0,,,,,,,,,stage1_pruned,s15
s07,s02,2.0,7.898101828409844,3.0,17.0,20.0,,,,,,,,,stage1_pruned,s15
s22,s02,2.0,7.977041653139119,3.0,18.0,21.0,,,,,,,,,stage1_pruned,s15
s31,s02,2.0,8.06638540297786,3.0,19.0,22.0,,,,,,,,,stage1_pruned,s15
s30,s02,2.0,8.296533696950663,3.0,20.0,23.0,,,,,,,,,stage1_pruned,s15
s13,s02,2.0,8.330585220599302,3.0,21.0,24.0,,,,,,,,,stage1_pruned,s15
s23,s02,2.0,8.412539099638968,3.0,22.0,25.0,,,,,,,,,stage1_pruned,s15
s27,s02,2.0,8.804387376072247,3.0,23.0,26.0,,,,,,,,,stage1_pruned,s15
s25,s02,2.0,9.015813623142911,3.0,24.0,27.0,,,,,,,,,stage1_pruned,s15
s12,s02,2.0,9.154495391436384,3.0,25.0,28.0,,,,,,,,,stage1_pruned,s15
s32,s02,2.0,9.233656360912168,3.0,26.0,29.0,,,,,,,,,stage1_pruned,s15
s11,s02,2.0,9.380628826074691,3.0,27.0,30.0,,,,,,,,,stage1_pruned,s15
s05,s02,2.0,9.596242885898278,3.0,28.0,31.0,,,,,,,,,stage1_pruned,s15
s24,s02,2.0,9.707582614767034,3.0,29.0,32.0,,,,,,,,,stage1_pruned,s15
s14,s02,2.0,10.876068753874282,3.0,30.0,33.0,,,,,,,,,stage1_pruned,s15
s21,s02,2.0,11.040852353471003,3.0,31.0,34.0,,,,,,,,,stage1_pruned,s15
s10,s03,2.0,5.985531796123073,2.0,2.0,4.0,60.0,1.0,0.743103448275862,1.0,1.0,0.9370689655172413,0.9540773231894619,0.9337383489180938,stage2_probe,s10
s15,s03,2.0,5.999531059176676,2.0,3.0,5.0,60.0,1.0,0.12844827586206897,1.0,1.0,0.664655172413793,0.8678563335571144,0.7520135063330281,stage2_probe,s10
s22,s03,1.9833333333333334,6.25624442465383,1.0,4.0,5.0,3.0,0.05,0.0353448275862069,0.5,1.0,0.6706896551724137,0.8688557853455898,0.49214968581900365,stage2_probe,s10
s17,s03,1.9833333333333334,6.360099020148273,1.0,6.0,7.0,8.0,0.13333333333333333,0.06896551724137931,0.0,1.0,0.725,0.9736544412956512,0.42747582551305846,stage2_probe,s10
s18,s03,2.0,5.408392673500518,2.0,1.0,3.0,2.0,0.03333333333333333,0.0017241379310344827,0.0,1.0,0.6706896551724137,0.7951840090799045,0.3792419590746849,stage2_probe,s10
s29,s03,2.0,6.305786233404035,2.0,5.0,7.0,,,,,,,,,stage1_pruned,s10
s20,s03,2.0,6.36025224194387,2.0,7.0,9.0,,,,,,,,,stage1_pruned,s10
s01,s03,2.0,6.644719030492908,2.0,8.0,10.0,,,,,,,,,stage1_pruned,s10
s08,s03,2.0,6.747921179616624,2.0,9.0,11.0,,,,,,,,,stage1_pruned,s10
s13,s03,2.0,6.862771414344495,2.0,10.0,12.0,,,,,,,,,stage1_pruned,s10
s26,s03,1.9833333333333334,7.103769910737596,1.0,12.0,13.0,,,,,,,,,stage1_pruned,s10
s23,s03,2.0,7.101135257282533,2.0,11.0,13.0,,,,,,,,,stage1_pruned,s10
s04,s03,2.0,7.1556046747133815,2.0,13.0,15.0,,,,,,,,,stage1_pruned,s10
s02,s03,2.0,7.471022947789514,2.0,14.0,16.0,,,,,,,,,stage1_pruned,s10
s30,s03,2.0,7.53096172146615,2.0,15.0,17.0,,,,,,,,,stage1_pruned,s10
s19,s03,2.0,7.5401799050025735,2.0,16.0,18.0,,,,,,,,,stage1_pruned,s10
s27,s03,2.0,7.590422192270445,2.0,17.0,19.0,,,,,,,,,stage1_pruned,s10
s32,s03,2.0,7.759167348978718,2.0,18.0,20.0,,,,,,,,,stage1_pruned,s10
s05,s03,2.0,7.8932662472879045,2.0,19.0,21.0,,,,,,,,,stage1_pruned,s10
s06,s03,2.0,7.972285211279425,2.0,20.0,22.0,,,,,,,,,stage1_pruned,s10
s28,s03,2.0,8.034200528147387,2.0,21.0,23.0,,,,,,,,,stage1_pruned,s10
s16,s03,1.9833333333333334,8.443537178804881,1.0,23.0,24.0,,,,,,,,,stage1_pruned,s10
s09,s03,2.0,8.046210692730721,2.0,22.0,24.0,,,,,,,,,stage1_pruned,s10
s11,s03,2.0,8.53218733166955,2.0,24.0,26.0,,,,,,,,,stage1_pruned,s10
s25,s03,2.0,8.598865417338995,2.0,25.0,27.0,,,,,,,,,stage1_pruned,s10
s21,s03,2.0,9.54006605402167,2.0,26.0,28.0,,,,,,,,,stage1_pruned,s10
s07,s03,2.0,9.541611706931468,2.0,27.0,29.0,,,,,,,,,stage1_pruned,s10
s31,s03,2.0,9.720845821201644,2.0,28.0,30.0,,,,,,,,,stage1_pruned,s10
s12,s03,2.0,9.924000267595742,2.0,29.0,31.0,,,,,,,,,stage1_pruned,s10
s24,s03,2.0,10.04581249530153,2.0,30.0,32.0,,,,,,,,,stage1_pruned,s10
s14,s03,2.0,11.959905885716802,2.0,31.0,33.0,,,,,,,,,stage1_pruned,s10
s22,s04,1.9833333333333334,5.995407963141509,2.0,2.0,4.0,60.0,1.0,0.4836206896551724,1.0,1.0,0.8344827586206897,0.9653807773787003,0.8618897285241074,stage2_probe,s22
s11,s04,1.9833333333333334,6.260617893075511,2.0,6.0,8.0,60.0,1.0,0.24482758620689654,1.0,1.0,0.8198275862068967,0.9661807030925718,0.8112400696373872,stage2_probe,s22
s01,s04,2.0,6.070350863470032,3.0,3.0,6.0,60.0,1.0,0.21293103448275863,1.0,1.0,0.721551724137931,0.9689845015716266,0.7853457768027192,stage2_probe,s22
s10,s04,2.0,5.370438686246224,3.0,1.0,4.0,6.0,0.1,0.7603448275862069,0.5,1.0,0.9956896551724139,0.9996001868155692,0.7161869058925027,stage2_probe,s22
s19,s04,1.9666666666666668,6.076983347373184,1.0,4.0,5.0,55.0,0.9166666666666666,0.09224137931034483,0.8333333333333334,1.0,0.7232758620689654,0.8792288290628334,0.7112315563956704,stage2_probe,s22
s23,s04,2.0,6.193702697275403,3.0,5.0,8.0,,,,,,,,,stage1_pruned,s22
s26,s04,2.0,6.304607303523134,3.0,7.0,10.0,,,,,,,,,stage1_pruned,s22
s18,s04,2.0,6.385712412841817,3.0,8.0,11.0,,,,,,,,,stage1_pruned,s22
s15,s04,2.0,6.545350037574441,3.0,9.0,12.0,,,,,,,,,stage1_pruned,s22
s20,s04,2.0,6.558834741129143,3.0,10.0,13.0,,,,,,,,,stage1_pruned,s22
s17,s04,2.0,6.622528538889867,3.0,11.0,14.0,,,,,,,,,stage1_pruned,s22
s08,s04,1.9833333333333334,6.871578321797348,2.0,13.0,15.0,,,,,,,,,stage1_pruned,s22
s03,s04,2.0,6.74652047326821,3.0,12.0,15.0,,,,,,,,,stage1_pruned,s22
s29,s04,2.0,6.885512589284942,3.0,14.0,17.0,,,,,,,,,stage1_pruned,s22
s28,s04,2.0,7.257673076402442,3.0,15.0,18.0,,,,,,,,,stage1_pruned,s22
s30,s04,2.0,7.427031943009427,3.0,16.0,19.0,,,,,,,,,stage1_pruned,s22
s02,s04,2.0,7.42859537500729,3.0,17.0,20.0,,,,,,,,,stage1_pruned,s22
s09,s04,2.0,7.442564306553589,3.0,18.0,21.0,,,,,,,,,stage1_pruned,s22
s32,s04,2.0,7.457044452633011,3.0,19.0,22.0,,,,,,,,,stage1_pruned,s22
s16,s04,2.0,7.611239249717119,3.0,20.0,23.0,,,,,,,,,stage1_pruned,s22
s13,s04,2.0,7.617372210552249,3.0,21.0,24.0,,,,,,,,,stage1_pruned,s22
s27,s04,2.0,7.752045239624404,3.0,22.0,25.0,,,,,,,,,stage1_pruned,s22
s25,s04,2.0,7.830622904502294,3.0,23.0,26.0,,,,,,,,,stage1_pruned,s22
s06,s04,2.0,7.962422457106958,3.0,24.0,27.0,,,,,,,,,stage1_pruned,s22
s05,s04,1.9833333333333334,8.132856177474588,2.0,26.0,28.0,,,,,,,,,stage1_pruned,s22
s07,s04,2.0,8.017886040793613,3.0,25.0,28.0,,,,,,,,,stage1_pruned,s22
s21,s04,2.0,8.943054364037396,3.0,27.0,30.0,,,,,,,,,stage1_pruned,s22
s31,s04,2.0,9.241569738407158,3.0,28.0,31.0,,,,,,,,,stage1_pruned,s22
s12,s04,2.0,9.56206329463986,3.0,29.0,32.0,,,,,,,,,stage1_pruned,s22
s24,s04,2.0,9.566319435037839,3.0,30.0,33.0,,,,,,,,,stage1_pruned,s22
s14,s04,2.0,11.207946279942862,3.0,31.0,34.0,,,,,,,,,stage1_pruned,s22
s26,s05,2.0,6.1916036541385555,4.0,4.0,8.0,60.0,1.0,0.8931034482758621,1.0,1.0,0.925,0.9962673014842255,0.9634340547293837,stage2_probe,s26
s23,s05,1.9500000000000002,6.891433412618959,1.0,6.0,7.0,60.0,1.0,0.7379310344827587,1.0,1.0,0.8818965517241377,0.9862023895504528,0.9232756367189019,stage2_probe,s26
s21,s05,2.0,6.045386605577498,4.0,3.0,7.0,60.0,1.0,0.4939655172413793,1.0,1.0,0.7879310344827586,0.9995144014529259,0.8563550304174739,stage2_probe,s26
s27,s05,2.0,5.985433014766241,4.0,2.0,6.0,60.0,1.0,0.38017241379310346,1.0,1.0,0.8405172413793103,0.9890882408839163,0.8435923430786787,stage2_probe,s26
s22,s05,1.9833333333333334,5.860693341688311,3.0,1.0,4.0,39.0,0.65,0.03362068965517241,0.625,1.0,0.6577586206896552,0.863650514417811,0.6039583877898561,stage2_probe,s26
s10,s05,2.0,6.886145508490679,4.0,5.0,9.0,,,,,,,,,stage1_pruned,s26
s11,s05,1.9833333333333334,7.335241212020423,3.0,7.0,10.0,,,,,,,,,stage1_pruned,s26
s32,s05,2.0,7.581982143539779,4.0,8.0,12.0,,,,,,,,,stage1_pruned,s26
s03,s05,2.0,7.611247162649862,4.0,9.0,13.0,,,,,,,,,stage1_pruned,s26
s29,s05,2.0,7.6558035519868675,4.0,10.0,14.0,,,,,,,,,stage1_pruned,s26
s18,s05,2.0,7.706941320103919,4.0,11.0,15.0,,,,,,,,,stage1_pruned,s26
s04,s05,2.0,7.791206856285276,4.0,12.0,16.0,,,,,,,,,stage1_pruned,s26
s15,s05,2.0,7.986671269984524,4.0,13.0,17.0,,,,,,,,,stage1_pruned,s26
s01,s05,2.0,8.121699273583229,4.0,14.0,18.0,,,,,,,,,stage1_pruned,s26
s08,s05,1.9833333333333334,8.170274214137713,3.0,16.0,19.0,,,,,,,,,stage1_pruned,s26
