source_subject,target_subject,source_only_acc,transfer_acc,gain,target_size
s18,s16,0.2,0.5,0.3,40.0
s07,s14,0.275,0.475,0.19999999999999996,40.0
s01,s04,0.325,0.5,0.175,40.0
s14,s12,0.2,0.375,0.175,40.0
s18,s29,0.175,0.35,0.175,40.0
s28,s01,0.325,0.45,0.125,40.0
s09,s28,0.275,0.325,0.04999999999999999,40.0
s10,s26,0.25,0.3,0.04999999999999999,40.0
s32,s25,0.35,0.375,0.025000000000000022,40.0
s18,s09,0.275,0.3,0.024999999999999967,40.0
s04,s22,0.375,0.375,0.0,40.0
s03,s13,0.35,0.325,-0.024999999999999967,40.0
s09,s07,0.25,0.225,-0.024999999999999994,40.0
s18,s15,0.325,0.3,-0.025000000000000022,40.0
s23,s32,0.3,0.25,-0.04999999999999999,40.0
s16,s08,0.25,0.2,-0.04999999999999999,40.0
s06,s17,0.275,0.225,-0.05000000000000002,40.0
s25,s30,0.2,0.15,-0.05000000000000002,40.0
s21,s05,0.3,0.225,-0.07499999999999998,40.0
s30,s24,0.375,0.3,-0.07500000000000001,40.0
s18,s19,0.4,0.3,-0.10000000000000003,40.0
s03,s10,0.45,0.325,-0.125,40.0
s10,s11,0.4,0.275,-0.125,40.0
s18,s21,0.375,0.25,-0.125,40.0
s07,s31,0.375,0.2,-0.175,40.0
s18,s02,0.5,0.225,-0.275,40.0
s18,s20,0.475,0.175,-0.3,40.0
s18,s23,0.45,0.15,-0.30000000000000004,40.0
s01,s18,0.425,0.1,-0.32499999999999996,40.0
s15,s03,0.475,0.125,-0.35,40.0
s26,s27,0.55,0.125,-0.42500000000000004,40.0
s18,s06,0.6,0.125,-0.475,40.0
