source_subject,target_subject,repeat,target_size,source_only_acc,transfer_acc,gain,proxy_a_before,proxy_a_after
s28,s01,0,40,0.325,0.45,0.125,1.7833333333333332,1.7999999999999998
s18,s02,0,40,0.5,0.225,-0.275,1.7999999999999998,1.8333333333333335
s15,s03,0,40,0.475,0.125,-0.35,1.9166666666666665,1.9666666666666668
s01,s04,0,40,0.325,0.5,0.175,1.5499999999999998,1.7000000000000002
s21,s05,0,40,0.3,0.225,-0.07499999999999998,1.9500000000000002,1.9166666666666665
s18,s06,0,40,0.6,0.125,-0.475,1.8166666666666669,1.9666666666666668
s09,s07,0,40,0.25,0.225,-0.024999999999999994,1.9,1.9833333333333334
s16,s08,0,40,0.25,0.2,-0.04999999999999999,1.6666666666666665,1.7833333333333332
s18,s09,0,40,0.275,0.3,0.024999999999999967,1.9333333333333331,1.9
s03,s10,0,40,0.45,0.325,-0.125,1.7333333333333334,1.6666666666666665
s10,s11,0,40,0.4,0.275,-0.125,1.3833333333333333,1.8833333333333333
s14,s12,0,40,0.2,0.375,0.175,1.9500000000000002,1.6166666666666667
s03,s13,0,40,0.35,0.325,-0.024999999999999967,1.7333333333333334,1.6166666666666667
s07,s14,0,40,0.275,0.475,0.19999999999999996,1.9500000000000002,1.9833333333333334
s18,s15,0,40,0.325,0.3,-0.025000000000000022,1.9500000000000002,1.9500000000000002
s18,s16,0,40,0.2,0.5,0.3,1.5666666666666669,1.5333333333333332
s06,s17,0,40,0.275,0.225,-0.05000000000000002,1.75,1.7333333333333334
s01,s18,0,40,0.425,0.1,-0.32499999999999996,1.6,1.8333333333333335
s18,s19,0,40,0.4,0.3,-0.10000000000000003,1.5,1.4
s18,s20,0,40,0.475,0.175,-0.3,1.3833333333333333,1.7833333333333332
s18,s21,0,40,0.375,0.25,-0.125,1.9500000000000002,2.0
s04,s22,0,40,0.375,0.375,0.0,1.7333333333333334,1.7833333333333332
s18,s23,0,40,0.45,0.15,-0.30000000000000004,1.5833333333333335,1.6833333333333331
s30,s24,0,40,0.375,0.3,-0.07500000000000001,1.9333333333333331,1.9833333333333334
s32,s25,0,40,0.35,0.375,0.025000000000000022,1.8666666666666667,1.8833333333333333
s10,s26,0,40,0.25,0.3,0.04999999999999999,1.7999999999999998,1.9833333333333334
s26,s27,0,40,0.55,0.125,-0.42500000000000004,1.4666666666666668,1.6666666666666665
s09,s28,0,40,0.275,0.325,0.04999999999999999,2.0,1.9666666666666668
s18,s29,0,40,0.175,0.35,0.175,1.9500000000000002,1.9833333333333334
s25,s30,0,40,0.2,0.15,-0.05000000000000002,1.9333333333333331,1.85
s07,s31,0,40,0.375,0.2,-0.175,1.8833333333333333,1.9
s23,s32,0,40,0.3,0.25,-0.04999999999999999,1.9333333333333331,1.9500000000000002
