source_subject,target_subject,source_only_acc,transfer_acc,gain,target_size,num_pseudo_labeled
s09,s07,0.15,0.475,0.32499999999999996,40.0,0.0
s10,s26,0.125,0.425,0.3,40.0,0.0
s18,s21,0.325,0.4,0.07500000000000001,40.0,0.0
s21,s05,0.3,0.375,0.07500000000000001,40.0,0.0
s14,s12,0.35,0.4,0.050000000000000044,40.0,0.0
s18,s02,0.5,0.525,0.025000000000000022,40.0,0.0
s04,s22,0.35,0.375,0.025000000000000022,40.0,0.0
s06,s17,0.35,0.375,0.025000000000000022,40.0,0.0
s18,s16,0.25,0.275,0.025000000000000022,40.0,0.0
s32,s25,0.25,0.275,0.025000000000000022,40.0,0.0
s18,s29,0.125,0.15,0.024999999999999994,40.0,0.0
s01,s04,0.325,0.35,0.024999999999999967,40.0,0.0
s23,s32,0.275,0.3,0.024999999999999967,40.0,0.0
s07,s14,0.475,0.475,0.0,40.0,0.0
s18,s23,0.375,0.375,0.0,40.0,0.0
s03,s13,0.3,0.3,0.0,40.0,0.0
s18,s20,0.425,0.4,-0.024999999999999967,40.0,0.0
s18,s06,0.3,0.275,-0.024999999999999967,40.0,0.0
s25,s30,0.225,0.2,-0.024999999999999994,40.0,0.0
s26,s27,0.55,0.525,-0.025000000000000022,40.0,0.0
s10,s11,0.45,0.425,-0.025000000000000022,40.0,0.0
s09,s28,0.375,0.35,-0.025000000000000022,40.0,0.0
s18,s19,0.325,0.3,-0.025000000000000022,40.0,0.0
s18,s09,0.275,0.25,-0.025000000000000022,40.0,0.0
s07,s31,0.45,0.4,-0.04999999999999999,40.0,0.0
s03,s10,0.35,0.3,-0.04999999999999999,40.0,0.0
s30,s24,0.35,0.3,-0.04999999999999999,40.0,0.0
s15,s03,0.525,0.475,-0.050000000000000044,40.0,0.0
s01,s18,0.4,0.325,-0.07500000000000001,40.0,0.0
s18,s15,0.425,0.325,-0.09999999999999998,40.0,0.0
s16,s08,0.325,0.2,-0.125,40.0,0.0
s28,s01,0.6,0.45,-0.14999999999999997,40.0,0.0
