source_subject,target_subject,proxy_a_distance,coral_distance,proxy_rank,coral_rank,selection_score,probe_selected_count,probe_selected_fraction_of_cap,probe_candidate_coverage,probe_pseudo_balance,probe_agreement,probe_trial_coherence,probe_mean_selected_conf,probe_transferability_score,selection_stage,selected_source
s28,s01,2.0,5.760416028135561,3.0,4.0,7.0,57.0,0.6333333333333333,0.06379310344827586,0.9,1.0,0.5896551724137931,0.8712066391171748,0.6492499871282725,stage2_probe,s28
s18,s01,2.0,5.1787731681440645,3.0,1.0,4.0,50.0,0.5555555555555556,0.059482758620689656,0.6666666666666666,1.0,0.6620689655172415,0.8733931703391505,0.6046466700112105,stage2_probe,s28
s20,s01,2.0,5.451358671219005,3.0,3.0,6.0,33.0,0.36666666666666664,0.07413793103448275,0.5,1.0,0.6267241379310345,0.9167522360475043,0.5410100255954787,stage2_probe,s28
s29,s01,2.0,5.887353334008204,3.0,5.0,8.0,5.0,0.05555555555555555,0.01206896551724138,0.5,1.0,0.685344827586207,0.9220429007198483,0.4939182369900154,stage2_probe,s28
s17,s01,1.9666666666666668,5.332100226610577,1.0,2.0,3.0,1.0,0.011111111111111112,0.0008620689655172414,0.0,1.0,0.5525862068965517,0.754813390371425,0.3500969913576517,stage2_probe,s28
s10,s01,2.0,6.198178550614722,3.0,6.0,9.0,,,,,,,,,stage1_pruned,s28
s22,s01,1.9833333333333334,6.390006963546676,2.0,8.0,10.0,,,,,,,,,stage1_pruned,s28
s04,s01,2.0,6.292346256945492,3.0,7.0,10.0,,,,,,,,,stage1_pruned,s28
s06,s01,1.9666666666666668,6.5493697566695985,1.0,11.0,12.0,,,,,,,,,stage1_pruned,s28
s19,s01,2.0,6.409030816294459,3.0,9.0,12.0,,,,,,,,,stage1_pruned,s28
s26,s01,2.0,6.544008815968598,3.0,10.0,13.0,,,,,,,,,stage1_pruned,s28
s09,s01,2.0,6.645959919157378,3.0,12.0,15.0,,,,,,,,,stage1_pruned,s28
s08,s01,2.0,6.707884451430087,3.0,13.0,16.0,,,,,,,,,stage1_pruned,s28
s15,s01,2.0,6.832874766790771,3.0,14.0,17.0,,,,,,,,,stage1_pruned,s28
s03,s01,2.0,6.893219764142219,3.0,15.0,18.0,,,,,,,,,stage1_pruned,s28
s23,s01,2.0,7.127018212994982,3.0,16.0,19.0,,,,,,,,,stage1_pruned,s28
s13,s01,1.9833333333333334,7.408093084691844,2.0,18.0,20.0,,,,,,,,,stage1_pruned,s28
s32,s01,2.0,7.381111391537326,3.0,17.0,20.0,,,,,,,,,stage1_pruned,s28
s02,s01,2.0,7.447127870213698,3.0,19.0,22.0,,,,,,,,,stage1_pruned,s28
s27,s01,2.0,7.461665396862335,3.0,20.0,23.0,,,,,,,,,stage1_pruned,s28
s05,s01,1.9666666666666668,8.166192703108836,1.0,23.0,24.0,,,,,,,,,stage1_pruned,s28
s16,s01,2.0,7.578440748628496,3.0,21.0,24.0,,,,,,,,,stage1_pruned,s28
s30,s01,2.0,7.6189762692108545,3.0,22.0,25.0,,,,,,,,,stage1_pruned,s28
s07,s01,2.0,8.323172171926585,3.0,24.0,27.0,,,,,,,,,stage1_pruned,s28
s21,s01,1.9833333333333334,8.797296756409068,2.0,26.0,28.0,,,,,,,,,stage1_pruned,s28
s25,s01,2.0,8.331363850086651,3.0,25.0,28.0,,,,,,,,,stage1_pruned,s28
