pair_id,source_subject,target_subject,accuracy
1,s14,s11,0.4000
2,s28,s12,0.3000
3,s18,s19,0.3250
4,s32,s03,0.4000
5,s02,s32,0.3000
6,s04,s07,0.1500
7,s02,s26,0.1250
8,s16,s30,0.4000
9,s05,s30,0.3500
10,s13,s08,0.2750
11,s21,s28,0.5250
12,s08,s28,0.4250
13,s16,s08,0.2000
14,s04,s25,0.3750
15,s12,s06,0.5500
16,s02,s22,0.3750
17,s11,s23,0.3750
18,s17,s14,0.4500
19,s11,s10,0.3750
20,s32,s09,0.3750
21,s20,s15,0.4750
22,s29,s13,0.3000
23,s13,s17,0.3250
24,s01,s09,0.3000
25,s05,s04,0.3250
26,s32,s23,0.3250
27,s32,s12,0.3750
28,s01,s04,0.3250
29,s08,s02,0.5000
30,s21,s27,0.3250
31,s29,s06,0.2750
32,s20,s19,0.5250
