pair_id,source_subject,target_subject,accuracy
1,s14,s11,0.6000
2,s28,s12,0.4750
3,s18,s19,0.4250
4,s32,s03,0.5500
5,s02,s32,0.5000
6,s04,s07,0.4250
7,s02,s26,0.6250
8,s16,s30,0.6750
9,s05,s30,0.6750
10,s13,s08,0.5500
11,s21,s28,0.6250
12,s08,s28,0.3000
13,s16,s08,0.4500
14,s04,s25,0.5500
15,s12,s06,0.7000
16,s02,s22,0.6000
17,s11,s23,0.6250
18,s17,s14,0.5000
19,s11,s10,0.4750
20,s32,s09,0.5000
21,s20,s15,0.5000
22,s29,s13,0.5250
23,s13,s17,0.5500
24,s01,s09,0.4000
25,s05,s04,0.4000
26,s32,s23,0.3500
27,s32,s12,0.5250
28,s01,s04,0.4000
29,s08,s02,0.5000
30,s21,s27,0.7500
31,s29,s06,0.2500
32,s20,s19,0.5750
