pair_id,source_subject,target_subject,accuracy
1,s14,s11,0.4000
2,s28,s12,0.3250
3,s18,s19,0.3750
4,s32,s03,0.4750
5,s02,s32,0.2250
6,s04,s07,0.4750
7,s02,s26,0.5250
8,s16,s30,0.4750
9,s05,s30,0.5000
10,s13,s08,0.3750
11,s21,s28,0.1500
12,s08,s28,0.2750
13,s16,s08,0.4250
14,s04,s25,0.3750
15,s12,s06,0.6250
16,s02,s22,0.4000
17,s11,s23,0.4250
18,s17,s14,0.4750
19,s11,s10,0.3000
20,s32,s09,0.3250
21,s20,s15,0.4750
22,s29,s13,0.3500
23,s13,s17,0.4000
24,s01,s09,0.3000
25,s05,s04,0.3000
26,s32,s23,0.1750
27,s32,s12,0.4000
28,s01,s04,0.4500
29,s08,s02,0.2500
30,s21,s27,0.5000
31,s29,s06,0.2750
32,s20,s19,0.4000
